engine-size,horsepower,city-mpg,highway-mpg,price,fuel-type_diesel,fuel-type_gas,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd
130,111.0,21,27,13495.0,0,1,0,1,1,0,0,0,0,0,0,1
130,111.0,21,27,16500.0,0,1,0,1,1,0,0,0,0,0,0,1
152,154.0,19,26,16500.0,0,1,0,1,0,0,1,0,0,0,0,1
109,102.0,24,30,13950.0,0,1,1,0,0,0,0,1,0,0,1,0
136,115.0,18,22,17450.0,0,1,1,0,0,0,0,1,0,1,0,0
136,110.0,19,25,15250.0,0,1,0,1,0,0,0,1,0,0,1,0
136,110.0,19,25,17710.0,0,1,1,0,0,0,0,1,0,0,1,0
136,110.0,19,25,18920.0,0,1,1,0,0,0,0,0,1,0,1,0
131,140.0,17,20,23875.0,0,1,1,0,0,0,0,1,0,0,1,0
108,101.0,23,29,16430.0,0,1,0,1,0,0,0,1,0,0,0,1
108,101.0,23,29,16925.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,21,28,20970.0,0,1,0,1,0,0,0,1,0,0,0,1
164,121.0,21,28,21105.0,0,1,1,0,0,0,0,1,0,0,0,1
164,121.0,20,25,24565.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,22,30760.0,0,1,1,0,0,0,0,1,0,0,0,1
209,182.0,16,22,41315.0,0,1,0,1,0,0,0,1,0,0,0,1
209,182.0,15,20,36880.0,0,1,1,0,0,0,0,1,0,0,0,1
61,48.0,47,53,5151.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,43,6295.0,0,1,0,1,0,0,1,0,0,0,1,0
90,70.0,38,43,6575.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,37,41,5572.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,38,6377.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,30,7957.0,0,1,0,1,0,0,1,0,0,0,1,0
90,68.0,31,38,6229.0,0,1,1,0,0,0,1,0,0,0,1,0
90,68.0,31,38,6692.0,0,1,1,0,0,0,0,1,0,0,1,0
90,68.0,31,38,7609.0,0,1,1,0,0,0,0,1,0,0,1,0
98,102.0,24,30,8558.0,0,1,1,0,0,0,0,1,0,0,1,0
122,88.0,24,30,8921.0,0,1,1,0,0,0,0,0,1,0,1,0
156,145.0,19,24,12964.0,0,1,0,1,0,0,1,0,0,0,1,0
92,58.0,49,54,6479.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,31,38,6855.0,0,1,0,1,0,0,1,0,0,0,1,0
79,60.0,38,42,5399.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,34,6529.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,34,7129.0,0,1,0,1,0,0,1,0,0,0,1,0
92,76.0,30,34,7295.0,0,1,1,0,0,0,0,1,0,0,1,0
92,76.0,30,34,7295.0,0,1,1,0,0,0,0,0,1,0,1,0
110,86.0,27,33,7895.0,0,1,0,1,0,0,1,0,0,0,1,0
110,86.0,27,33,9095.0,0,1,0,1,0,0,1,0,0,0,1,0
110,86.0,27,33,8845.0,0,1,1,0,0,0,0,1,0,0,1,0
110,86.0,27,33,10295.0,0,1,1,0,0,0,0,1,0,0,1,0
110,101.0,24,28,12945.0,0,1,1,0,0,0,0,1,0,0,1,0
110,100.0,25,31,10345.0,0,1,0,1,0,0,0,1,0,0,1,0
111,78.0,24,29,6785.0,0,1,1,0,0,0,0,1,0,0,0,1
119,90.0,24,29,11048.0,0,1,0,1,0,0,1,0,0,0,0,1
258,176.0,15,19,32250.0,0,1,1,0,0,0,0,1,0,0,0,1
258,176.0,15,19,35550.0,0,1,1,0,0,0,0,1,0,0,0,1
326,262.0,13,17,36000.0,0,1,0,1,0,0,0,1,0,0,0,1
91,68.0,30,31,5195.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,38,6095.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,38,6795.0,0,1,0,1,0,0,1,0,0,0,1,0
91,68.0,31,38,6695.0,0,1,1,0,0,0,0,1,0,0,1,0
91,68.0,31,38,7395.0,0,1,1,0,0,0,0,1,0,0,1,0
70,101.0,17,23,10945.0,0,1,0,1,0,0,1,0,0,0,0,1
70,101.0,17,23,11845.0,0,1,0,1,0,0,1,0,0,0,0,1
70,101.0,17,23,13645.0,0,1,0,1,0,0,1,0,0,0,0,1
80,135.0,16,23,15645.0,0,1,0,1,0,0,1,0,0,0,0,1
122,84.0,26,32,8845.0,0,1,0,1,0,0,1,0,0,0,1,0
122,84.0,26,32,8495.0,0,1,1,0,0,0,0,1,0,0,1,0
122,84.0,26,32,10595.0,0,1,0,1,0,0,1,0,0,0,1,0
122,84.0,26,32,10245.0,0,1,1,0,0,0,0,1,0,0,1,0
122,64.0,36,42,10795.0,1,0,1,0,0,0,0,1,0,0,1,0
122,84.0,26,32,11245.0,0,1,1,0,0,0,1,0,0,0,1,0
140,120.0,19,27,18280.0,0,1,1,0,0,0,0,1,0,0,0,1
134,72.0,31,39,18344.0,1,0,1,0,0,0,0,1,0,0,0,1
183,123.0,22,25,25552.0,1,0,1,0,0,0,0,1,0,0,0,1
183,123.0,22,25,28248.0,1,0,1,0,0,0,0,0,1,0,0,1
183,123.0,22,25,28176.0,1,0,0,1,0,1,0,0,0,0,0,1
183,123.0,22,25,31600.0,1,0,1,0,0,0,0,1,0,0,0,1
234,155.0,16,18,34184.0,0,1,1,0,0,0,0,1,0,0,0,1
234,155.0,16,18,35056.0,0,1,0,1,1,0,0,0,0,0,0,1
308,184.0,14,16,40960.0,0,1,1,0,0,0,0,1,0,0,0,1
304,184.0,14,16,45400.0,0,1,0,1,0,1,0,0,0,0,0,1
140,175.0,19,24,16503.0,0,1,0,1,0,0,1,0,0,0,0,1
92,68.0,37,41,5389.0,0,1,0,1,0,0,1,0,0,0,1,0
92,68.0,31,38,6189.0,0,1,0,1,0,0,1,0,0,0,1,0
92,68.0,31,38,6669.0,0,1,0,1,0,0,1,0,0,0,1,0
98,102.0,24,30,7689.0,0,1,0,1,0,0,1,0,0,0,1,0
110,116.0,23,30,9959.0,0,1,0,1,0,0,1,0,0,0,1,0
